Month,FII_Net_Buy_Sell_RsCr,DII_Net_Buy_Sell_RsCr,Nifty_Closing,SIP_Contribution_RsCr
Jan-08,-29447.51,16414.69,5137.45,
Feb-08,-4051.12,4008.34,5223.5,
Mar-08,-3763.8,2947.51,4734.5,
Apr-08,-2536.88,3400.98,5165.9,
May-08,-6695.59,8278.03,4870.1,
Jun-08,-12667.16,8627.97,4040.55,
Jul-08,-4604,1527.19,4332.95,
Aug-08,-5456.12,2972.38,4360,
Sep-08,-12502.74,9212.96,3921.2,
Oct-08,-15653.5,10796.3,2885.6,
Nov-08,-5458.96,2874.15,2755.1,
Dec-08,1034.81,1906.28,2959.15,
Jan-09,-5172.82,3718.14,2874.8,
Feb-09,-2833.43,2774.56,2763.65,
Mar-09,-683.57,3951.53,3020.95,
Apr-09,5560.1,-782.33,3473.95,
May-09,13886.09,-82.45,4448.95,
Jun-09,-85.14,2633.78,4291.1,
Jul-09,-1364.6,5818.98,4636.45,
Aug-09,-3767.03,4984.71,4662.1,
Sep-09,12643.12,769.83,5083.95,
Oct-09,0.42,-3.18,4711.7,
Nov-09,1708.07,2391.04,5032.7,
Dec-09,4240.86,49.67,5201.05,
Jan-10,-7216.67,12222.03,4882.05,
Feb-10,-1971.92,1344.43,4922.3,
Mar-10,14792.33,-5135.85,5249.1,
Apr-10,2667.37,2190.66,5278,
May-10,-12071.12,6361.19,5086.3,
Jun-10,7713.95,-4777.05,5312.5,
Jul-10,8320.51,-6323.15,5367.6,
Aug-10,7260.68,-4513.75,5402.4,
Sep-10,23612.45,-12920.69,6029.95,
Oct-10,14388.06,-11812.9,6017.7,
Nov-10,5518.34,2492.72,5862.7,
Dec-10,-641.55,-481.89,6134.5,
Jan-11,-8903.6,5237.14,5505.9,
Feb-11,-7422.9,5781.05,5333.25,
Mar-11,8395.4,57.71,5833.75,
Apr-11,4.4,-558.27,5749.5,
May-11,-3705.37,4093.21,5560.15,
Jun-11,2662.76,-99.66,5647.4,
Jul-11,3930.12,-198.61,5482,
Aug-11,-11406.33,8281.06,5001,
Sep-11,-3088.87,1747.09,4943.25,
Oct-11,1557.22,-2295.25,5326.6,
Nov-11,-6508.71,4841.35,4832.05,
Dec-11,-2387.14,928.01,4624.3,
Jan-12,9440.51,-6735.91,5199.25,
Feb-12,24369.08,-11433.75,5385.2,
Mar-12,6517.23,-3495.6,5295.55,
